page,line,newcase_mark,text
4,8,,Application and Affidavit for Search Warrant by USA as
4,9,,to INFORMATION ASSOCIATED WITH THE EMAIL
4,10,,ACCOUNT [REDACTED].
4,11,,"(Attachments: # 1 Attachment, # 2 Affidavit, # 3"
4,12,,SEARCH AND SEIZURE WARRANT)
4,13,New Case,1:17-mj-00527-BAH *SEALED* Entered: Category: misc-cr Event: Application and
4,14,,USA v. INFORMATION ASSOCIATED 07/26/2017 Affidavit for
4,15,,WITH THE EMAIL ACCOUNT 11:53:16 Search/Seizure Warrant under Rule 41 by
4,16,,[REDACTED] Filed: USA
4,17,,07/26/2017 Document:
4,18,,1
4,19,,Application and Affidavit for Search Warrant by USA as
4,20,,to INFORMATION ASSOCIATED WITH THE EMAIL
4,21,,ACCOUNT [REDACTED].
4,22,,"(Attachments: # 1 Affidavit, # 2 attachment, # 3 Search"
4,23,,and Seizure Warrant)
4,24,New Case,1:17-mj-00533-BAH *SEALED* Entered: Category:
4,25,,USA v. [REDACTED] 07/27/2017 misc-cr
4,26,,09:37:36 Event: Application and Affidavit for
4,27,,Filed: Search/Seizure Warrant under Rule 41 by
4,28,,07/27/2017 USA
4,29,,Document:
4,30,,1
4,31,,Application and Affidavit for Search Warrant by USA as
4,32,,to [REDACTED]. (Attachments: # 1
4,33,,Affidavit)
4,34,New Case,1:17-mj-00536-BAH *SEALED* Entered: Category: misc-cr Event: Application and
4,35,,USA v. [REDACTED] 07/27/2017 Affidavit for
4,36,,16:28:27 Search/Seizure Warrant under Rule 41 by
4,37,,Filed: USA
4,38,,07/27/2017 Document:
4,39,,1
4,40,,Application and Affidavit for Search Warrant by USA as
4,41,,to [REDACTED]. (Attachments: # 1
4,42,,"Affidavit, # 2 Search and Seizure warrant)"
4,43,,4
4,44,,
5,2,New Case,1:17-mj-00537-BAH *SEALED* Entered: Category: misc-cr Event: Application and
5,3,,USA v. [REDACTED] 07/27/2017 Affidavit for
5,4,,16:33:46 Search/Seizure Warrant under Rule 41 by
5,5,,Filed: USA
5,6,,07/27/2017 Document:
5,7,,1
5,8,,Application and Affidavit for Search Warrant by USA as
5,9,,to [REDACTED]. (Attachments:
5,10,,"# 1 Affidavit, # 2 Search and Seizure Warrant )"
5,11,New Case,1:17-mj-00548-BAH *SEALED* Entered: Category:
5,12,,USA v. INFORMATION ASSOCIATED 08/01/2017 misc-cr
5,13,,WITH THE
5,14,,EMAIL ACCOUNT [REDACTED] Event:
5,15,,11:09:45 Application
5,16,,Filed: and Affidavit
5,17,,08/01/2017 for
5,18,,Search/Seizure Warrant under Rule 41 by
5,19,,USA
5,20,,Document:
5,21,,1
5,22,,Application and Affidavit for Search Warrant by USA as
5,23,,to INFORMATION ASSOCIATED WITH THE EMAIL
5,24,,"ACCOUNT [REDACTED]. (Attachments: # 1 Affidavit,"
5,25,,"# 2 Exhibit Letter to the Chief, # 3 Search and Seizure"
5,26,,Warrant)
5,27,New Case,1:17-mj-00567-BAH *SEALED* Entered: Category: misc-cr Event: Application and
5,28,,USA v. INFORMATION ASSOCIATED 08/04/2017 Affidavit for
5,29,,WITH THE TWITTER ACCOUNTS 15:29:48 Search/Seizure Warrant under Rule 41 by
5,30,,[REDACTED] AND [REDACTED] Filed: USA
5,31,,08/04/2017 Document:
5,32,,1
5,33,,Application and Affidavit for Search Warrant by USA as
5,34,,to INFORMATION ASSOCIATED WITH THE
5,35,,TWITTER ACCOUNTS [REDACTED]
5,36,,"AND [REDACTED]. (Attachments: # 1 Affidavit, # 2"
5,37,,"Exhibit Letter to the Chief, # 3 Search and Seizure"
5,38,,Warrant)
5,39,,5
5,40,,
6,2,New Case,1:17-mj-00570-BAH *SEALED* Entered: Category: misc-cr Event: Application and
6,3,,USA v. INFORMATION ASSOCIATED 08/07/2017 Affidavit for
6,4,,WITH THE APPLE ID [REDACTED] 14:34:33 Search/Seizure Warrant under Rule 41 by
6,5,,THAT IS STORED AT PREMISES Filed: USA
6,6,,"CONTROLLED BY APPLE, INC. 08/07/2017 Document:"
6,7,,1
6,8,,Application and Affidavit for Search Warrant by USA as
6,9,,to INFORMATION ASSOCIATED WITH THE APPLE
6,10,,ID [REDACTED] THAT IS STORED AT PREMISES
6,11,,CONTROLLED
6,12,,"BY APPLE, INC. (Attachments: # 1 Affidavit, # 2 Letter"
6,13,,"to the Court, # 3 Search and Seizure Warrant)"
6,14,New Case,1:17-mj-00597-BAH *SEALED* Entered: Category:
6,15,,USA v. INFORMATION ASSOCIATED 08/15/2017 misc-cr
6,16,,WITH MULTIPLE
6,17,,GOOGLE ACCOUNTS THAT IS Event:
6,18,,STORED AT PREMISES
6,19,,CONTROLLED BY GOOGLE 10:01:18 Application
6,20,,Filed: and Affidavit
6,21,,08/15/2017 for
6,22,,Search/Seizure Warrant under Rule 41 by
6,23,,USA
6,24,,Document:
6,25,,1
6,26,,Application and Affidavit for Search Warrant by USA as
6,27,,to INFORMATION ASSOCIATED WITH MULTIPLE
6,28,,GOOGLE ACCOUNTS THAT IS STORED AT
6,29,,PREMISES CONTROLLED BY
6,30,,"GOOGLE. (Attachments: # 1 Affidavit, # 2 Search and"
6,31,,Seizure warrant)
6,32,New Case,1:17-mj-00598-BAH *SEALED* Entered: Category: misc-cr Event: Application and
6,33,,USA v. THREE APPLE DEVICES 08/15/2017 Affidavit for
6,34,,CURRENTLY STORED AT 10:05:41 Search/Seizure Warrant under Rule 41 by
6,35,,[REDACTED]. Filed: USA
6,36,,08/15/2017 Document:
6,37,,1
6,38,,Application and Affidavit for Search Warrant by USA as
6,39,,to THREE APPLE DEVICES CURRENTLY STORED
6,40,,AT [REDACTED]. (Attachments:
6,41,,"# 1 Affidavit, # 2 Search and Seizure warrant)"
6,42,,6
6,43,,
7,2,New Case,1:17-mj-00605-BAH *SEALED* Entered: Category: misc-cr Event: Application and
7,3,,USA v. INFORMATION ASSOCIATED 08/17/2017 Affidavit for
7,4,,WITH THE EMAIL ACCOUNT 10:57:31 Search/Seizure Warrant under Rule 41 by
7,5,,[REDACTED] Filed: USA
7,6,,08/17/2017 Document:
7,7,,1
7,8,,Application and Affidavit for Search Warrant by USA as
7,9,,to INFORMATION ASSOCIATED WITH THE EMAIL
7,10,,"ACCOUNT [REDACTED]. (Attachments: # 1 Affidavit,"
7,11,,"# 2 Letter to the Court, # 3 Search and Seizure warrant)"
7,12,New Case,1:17-mj-00607-BAH *SEALED* Entered: Category:
7,13,,USA v. INFORMATION ASSOCIATED 08/17/2017 misc-cr
7,14,,WITH EMAIL
7,15,,ADDRESSES STORED AT PREMISES Event:
7,16,,CONTROLLED
7,17,,"BY YAHOO HOLDINGS, INC, 701 12:11:32 Application"
7,18,,"FIRST AVENUE,"
7,19,,"SUNNYVALE, CA 97089 Filed: and Affidavit"
7,20,,08/17/2017 for
7,21,,Search/Seizure
7,22,,Warrant under
7,23,,Rule 41 by USA
7,24,,Document:
7,25,,1
7,26,,Application and Affidavit for Search Warrant by USA as
7,27,,to INFORMATION ASSOCIATED WITH EMAIL
7,28,,ADDRESSES STORED AT PREMISES CONTROLLED
7,29,,"BY YAHOO HOLDINGS, INC, 701 FIRST AVENUE,"
7,30,,"SUNNYVALE, CA 97089."
7,31,,"(Attachments: # 1 Affidavit, # 2 Search and Seizure"
7,32,,warrant)
7,33,New Case,1:17-mj-00608-BAH *SEALED* Entered: Category: misc-cr Event: Application and
7,34,,USA v. INFORMATION ASSOCIATED 08/17/2017 Affidavit for
7,35,,WITH EMAIL ADDRESSES STORED 12:14:45 Search/Seizure Warrant under Rule 41 by
7,36,,AT PREMISES CONTROLLED BY Filed: USA
7,37,,"GOOGLE INC, 1600 AMPHITHEATRE 08/17/2017 Document:"
7,38,,"PARKWAY, MOUNTAIN VIEW, CA 1"
7,39,,94043
7,40,,7
7,41,,
8,2,,Application and Affidavit for Search Warrant by USA as
8,3,,to INFORMATION ASSOCIATED WITH EMAIL
8,4,,ADDRESSES STORED AT PREMISES CONTROLLED
8,5,,"BY GOOGLE INC, 1600 AMPHITHEATRE"
8,6,,"PARKWAY, MOUNTAIN"
8,7,,"VIEW, CA 94043. (Attachments: # 1 Affidavit, # 2 Search"
8,8,,and Seizure warrant)
8,9,New Case,1:17-mj-00609-BAH *SEALED* Entered: Category: misc-cr Event: Application and
8,10,,USA v. INFORMATION ASSOCIATED 08/17/2017 Affidavit for
8,11,,WITH EMAIL ADDRESSES STORED 12:17:46 Search/Seizure Warrant under Rule 41 by
8,12,,AT PREMISES CONTROLLED BY Filed: USA
8,13,,"ZOHO CORPORATION, 4141 08/17/2017 Document:"
8,14,,"HACIENDA DRIVE, PLEASANTON, CA 1"
8,15,,94588
8,16,,Application and Affidavit for Search Warrant by USA as
8,17,,to INFORMATION ASSOCIATED WITH EMAIL
8,18,,ADDRESSES STORED AT PREMISES CONTROLLED
8,19,,"BY ZOHO CORPORATION, 4141 HACIENDA DRIVE,"
8,20,,"PLEASANTON, CA 94588."
8,21,,"(Attachments: # 1 Affidavit, # 2 Search and Seizure"
8,22,,warrant)
8,23,New Case,1:17-mj-00611-BAH *SEALED* Entered: Category:
8,24,,USA v. INFORMATION ASSOCIATED 08/17/2017 misc-cr
8,25,,WITH THE
8,26,,EMAIL ACCOUNT [REDACTED] Event:
8,27,,MAINTAINED BY THE FEDERAL 14:57:44 Application
8,28,,BUREAU OF
8,29,,INVESTIGATION Filed: and Affidavit
8,30,,08/17/2017 for
8,31,,Search/Seizure Warrant under Rule 41 by
8,32,,USA
8,33,,Document:
8,34,,1
8,35,,Application and Affidavit for Search Warrant by USA as
8,36,,to INFORMATION ASSOCIATED WITH THE EMAIL
8,37,,ACCOUNT [REDACTED] MAINTAINED BY THE
8,38,,FEDERAL BUREAU OF INVESTIGATION.
8,39,,"(Attachments: # 1 Affidavit, # 2 Search and Seizure"
8,40,,warrant)
8,41,,8
8,42,,
9,2,New Case,1:17-mj-00612-BAH *SEALED* Entered: Category: misc-cr Event: Application and
9,3,,USA v. INFORMATION ASSOCIATED 08/17/2017 Affidavit for
9,4,,WITH THE EMAIL ACCOUNTS 15:03:48 Search/Seizure Warrant under Rule 41 by
9,5,,[REDACTED] AND [REDACTED] THAT Filed: USA
9,6,,ARE STORED AT PREMISES 08/17/2017 Document:
9,7,,"CONTROLLED BY RACKSPACE US, 1"
9,8,,INC.
9,9,,Application and Affidavit for Search Warrant by USA as
9,10,,to INFORMATION ASSOCIATED WITH THE EMAIL
9,11,,ACCOUNTS [REDACTED] AND [REDACTED] THAT
9,12,,ARE STORED AT PREMISES CONTROLLED BY
9,13,,"RACKSPACE US, INC. (Attachments: # 1 Affidavit, # 2"
9,14,,Search and Seizure Warrant)
9,15,New Case,1:17-mj-00614-BAH *SEALED* Entered: Category: misc-cr Event: Application and
9,16,,USA v. INFORMATION ASSOCIATED 08/18/2017 Affidavit for
9,17,,WITH THE EMAIL ACCOUNT 13:00:27 Search/Seizure Warrant under Rule 41 by
9,18,,[REDACTED] THAT IS STORED AT Filed: USA
9,19,,"PREMISES CONTROLLED BY APPLE, 08/18/2017 Document:"
9,20,,INC. 1
9,21,,Application and Affidavit for Search Warrant by USA as
9,22,,to INFORMATION ASSOCIATED WITH THE EMAIL
9,23,,ACCOUNT [REDACTED] THAT IS STORED AT
9,24,,PREMISES CONTROLLED
9,25,,"BY APPLE, INC. (Attachments: # 1 Affidavit)"
9,26,New Case,1:17-mj-00633-BAH *SEALED* Entered: Category:
9,27,,USA v. EMAIL ACCOUNTS AND TEN 08/25/2017 misc-cr
9,28,,ELECTRONIC
9,29,,DEVICES CURRENTLY LOCATED AT Event:
9,30,,THE FBI
9,31,,WASHINGTON FIELD OFFICE 9:58:05 Application
9,32,,Filed: and Affidavit
9,33,,08/25/2017 for Search/Seizure Warrant under Rule
9,34,,41 by USA
9,35,,Document:
9,36,,1
9,37,,Application and Affidavit for Search Warrant by USA as
9,38,,to EMAIL ACCOUNTS AND TEN ELECTRONIC
9,39,,DEVICES CURRENTLY LOCATED AT THE FBI
9,40,,WASHINGTON FIELD
9,41,,OFFICE. (Attachments: # 1 Affidavit)
9,42,,9
9,43,,
10,2,New Case,1:17-mj-00639-JEB *SEALED* Entered: Category: misc- cr
10,3,,USA v. INFORMATION ASSOCIATED 08/30/2017 Event: Application and Affidavit for
10,4,,"WITH 98 FACEBOOK ACCOUNTS, 38 11:11:48 Search/Seizure Warrant under Rule 41 by"
10,5,,"FACEBOOK PAGES, AND 69 Filed: USA Document: 1"
10,6,,INSTAGRAM ACCOUNTS THAT ARE 08/30/2017
10,7,,STORED AT PREMISES CONTROLLED
10,8,,"BY FACEBOOK, INC."
10,9,,Application and Affidavit for Search Warrant by USA as
10,10,,to INFORMATION ASSOCIATED WITH 98
10,11,,"FACEBOOK ACCOUNTS, 38 FACEBOOK PAGES,"
10,12,,AND 69 INSTAGRAM ACCOUNTS THAT ARE
10,13,,STORED AT PREMISES CONTROLLED BY
10,14,,"FACEBOOK, INC. (Attachments: # 1 Affidavit, # 2"
10,15,,Search and Seizure Warrant)
10,16,New Case,1:17-mj-00650-JEB *SEALED* USA v. IN Entered: Category: misc- cr
10,17,,THE MATTER OF THE SEARCH OF AN 09/01/2017 Event: Application and Affidavit for
10,18,,APPLE IPHONE WITH IMEI 09:51:18 Search/Seizure Warrant under Rule 41 by
10,19,,[REDACTED] Filed: USA Document: 1
10,20,,09/01/2017
10,21,,Application and Affidavit for Search Warrant by USA as
10,22,,to IN THE MATTER OF THE SEARCH OF AN APPLE
10,23,,iPhone WITH IMEI [REDACTED]. (Attachments: # 1
10,24,,"Affidavit, # 2 Search and Seizure Warrant)"
10,25,New Case,1:17-mj-00651-JEB *SEALED* Entered: Category: misc-
10,26,,USA v. INFORMATION IN 98 09/01/2017 cr
10,27,,"FACEBOOK ACOUNTS, 38 Event:"
10,28,,FACEBOOK PAGES & 69 14:42:31 Application and
10,29,,INSTAGRAM ACCOUNTS STORED Filed: Affidavit for
10,30,,"AT FACEBOOK, INC. AND 09/01/2017 Search/Seizure"
10,31,,"INSTAGRAM, INC. Warrant under"
10,32,,Rule 41 by USA
10,33,,Document: 1
10,34,,10
10,35,,
11,2,,Application and Affidavit for Search Warrant by USA as
11,3,,"to INFORMATION IN 98 FACEBOOK ACOUNTS, 38"
11,4,,FACEBOOK PAGES & 69 INSTAGRAM ACCOUNTS
11,5,,"STORED AT FACEBOOK, INC. AND INSTAGRAM,"
11,6,,"INC. (Attachments: # 1 Affidavit, # 2 Search and Seizure"
11,7,,Warrant)
11,8,New Case,1:17-mj-00654-BAH *SEALED* Entered: Category: misc-cr Event: Application and
11,9,,USA v. INFORMATION ASSOCIATED 09/05/2017 Affidavit for
11,10,,WITH [REDACTED] STORED AT 16:49:37 Search/Seizure Warrant under Rule 41 by
11,11,,PREMISES CONTROLLED BY GOOGLE Filed: USA
11,12,,"INC, 1600 AMPHITHEATRE 09/05/2017 Document:"
11,13,,"PARKWAY, MOUNTAIN VIEW, CA 1"
11,14,,94043
11,15,,Application and Affidavit for Search Warrant by USA as
11,16,,to INFORMATION ASSOCIATED WITH [REDACTED]
11,17,,STORED AT PREMISES CONTROLLED BY GOOGLE
11,18,,"INC, 1600 AMPHITHEATRE PARKWAY, MOUNTAIN"
11,19,,"VIEW, CA 94043. (Attachments: # 1 Affidavit, # 2 Search"
11,20,,"& Search Warrant, # 3 Order to Seal)"
11,21,New Case,1:17-mj-00657-BAH *SEALED* Entered: Category: misc-cr Event: Application and
11,22,,USA v. INFORMATION ASSOCIATED 09/07/2017 Affidavit for
11,23,,"WITH 128 FACEBOOK ACCOUNTS, 79 16:52:35 Search/Seizure Warrant under Rule 41 by"
11,24,,"FACEBOOK PAGES, AND 47 Filed: USA"
11,25,,INSTAGRAM ACCOUNTS THAT ARE 09/07/2017 Document:
11,26,,STORED AT PREMISES CONTROLLED 1
11,27,,"BY FACEBOOK, INC."
11,28,,Application and Affidavit for Search Warrant by USA as
11,29,,to INFORMATION ASSOCIATED WITH 128
11,30,,"FACEBOOK ACCOUNTS, 79 FACEBOOK PAGES,"
11,31,,AND 47 INSTAGRAM ACCOUNTS THAT ARE
11,32,,STORED AT PREMISES CONTROLLED BY
11,33,,"FACEBOOK, INC."
11,34,,"(Attachments: # 1 Affidavit, # 2 Letter to the Court, # 3"
11,35,,Search and Seizure Warrant)
11,36,New Case,1:17-mj-00660-BAH *SEALED* Entered: Category:
11,37,,USA v. INFORMATION ASSOCIATED 09/11/2017 misc-cr
11,38,,WITH THE
11,39,,11
11,40,,
12,2,,GOOGLE ACCOUNTS [REDACTED] Event:
12,3,,AND [REDACTED] 10:28:00 Application
12,4,,Filed: and Affidavit for Search/Seizure Warrant
12,5,,09/11/2017 under Rule 41 by USA
12,6,,Document:
12,7,,1
12,8,,Application and Affidavit for Search Warrant by USA as
12,9,,to INFORMATION ASSOCIATED WITH THE
12,10,,GOOGLE ACCOUNTS [REDACTED] AND
12,11,,[REDACTED].
12,12,,"(Attachments: # 1 Affidavit, # 2 Search & Seizure"
12,13,,Warrant)
12,14,New Case,1:17-mj-00661-BAH *SEALED* Entered: Category: misc-cr Event: Application and
12,15,,USA v. INFORMATION ASSOCIATED 09/11/2017 Affidavit for
12,16,,WITH THE EMAIL ACCOUNT 10:35:15 Search/Seizure Warrant under Rule 41 by
12,17,,[REDACTED] Filed: USA
12,18,,09/11/2017 Document:
12,19,,1
12,20,,Application and Affidavit for Search Warrant by USA as
12,21,,to INFORMATION ASSOCIATED WITH THE EMAIL
12,22,,"ACCOUNT [REDACTED]. (Attachments: # 1 Affidavit,"
12,23,,"# 2 Letter to the Court, # 3 Search & Seizure Warrant)"
12,24,New Case,1:17-mj-00685-BAH *SEALED* Entered: Category: misc-cr Event: Application and
12,25,,USA v. INFORMATION ASSOCIATED 09/26/2017 Affidavit for
12,26,,WITH THE ACCOUNT [REDACTED] 15:30:05 Search/Seizure Warrant under Rule 41 by
12,27,,THAT IS STORED AT PREMESIS Filed: USA
12,28,,"CONTROLLED BY GOOGLE, INC. 09/26/2017 Document:"
12,29,,1
12,30,,Application and Affidavit for Search Warrant by USA as
12,31,,to INFORMATION ASSOCIATED WITH THE
12,32,,ACCOUNT [REDACTED] THAT IS STORED AT
12,33,,PREMESIS CONTROLLED BY
12,34,,"GOOGLE, INC. (Attachments: # 1 Affidavit, # 2 Search &"
12,35,,Seizure Warrant)
12,36,New Case,1:17-mj-00686-BAH *SEALED* Entered: Category:
12,37,,USA v. EMAIL ACCOUNTS 09/26/2017 misc-cr
12,38,,"[REDACTED], Event:"
12,39,,"[REDACTED], 15:36:14 Application"
12,40,,12
12,41,,
13,2,,"[REDACTED], [REDACTED], Filed: and Affidavit for Search/Seizure Warrant"
13,3,,"[REDACTED], AND TEN ELECTRONIC 09/26/2017 under Rule 41 by USA"
13,4,,DEVICES CURRENTLY Document:
13,5,,1
13,6,,Application and Affidavit for Search Warrant by USA as
13,7,,"to EMAIL [REDACTED], [REDACTED],"
13,8,,"[REDACTED], [REDACTED], [REDACTED], AND"
13,9,,TEN ELECTRONIC DEVICES CURRENTLY.
13,10,,"(Attachments: # 1 Affidavit, # 2 Search & Seizure)"
13,11,New Case,1:17-mj-00687-BAH *SEALED* Entered: Category: misc-cr Event: Application and
13,12,,USA v. INFORMATION ASSOCIATED 09/27/2017 Affidavit for
13,13,,WITH THE EMAIL ACCOUNT 09:46:47 Search/Seizure Warrant under Rule 41 by
13,14,,"[REDACTED], LOCATED AT THE Filed: USA"
13,15,,"PREMISES OF NETWORK SOLUTIONS, 09/27/2017 Document:"
13,16,,LLC 1
13,17,,Application and Affidavit for Search Warrant by USA as
13,18,,to INFORMATION ASSOCIATED WITH THE EMAIL
13,19,,"ACCOUNT [REDACTED], LOCATED AT THE"
13,20,,PREMISES OF NETWORK
13,21,,"SOLUTIONS, LLC. (Attachments: # 1 Affidavit, # 2"
13,22,,Search and Seizure Warrant)
13,23,New Case,1:17-mj-00688-BAH *SEALED* Entered: Category: misc-cr Event: Application and
13,24,,USA v. IN THE MATTER OF THE 09/27/2017 Affidavit for
13,25,,SEARCH OF INFORMATION 09:50:51 Search/Seizure Warrant under Rule 41 by
13,26,,ASSOCIATED WITH THE FACEBOOK Filed: USA
13,27,,"ACCOUNT [REDACTED], LOCATED 09/27/2017 Document:"
13,28,,AT THE PREMISES CONTROLLED BY 1
13,29,,"FACEBOOK, INC."
13,30,,Application and Affidavit for Search Warrant by USA as
13,31,,to IN THE MATTER OF THE SEARCH OF
13,32,,INFORMATION ASSOCIATED WITH THE
13,33,,"FACEBOOK ACCOUNT [REDACTED], LOCATED AT"
13,34,,THE PREMISES CONTROLLED BY
13,35,,"FACEBOOK, INC. (Attachments: # 1 Affidavit, # 2"
13,36,,Search and Seizure Warrant)
13,37,,13
13,38,,
14,2,New Case,1:17-mj-00695-BAH *SEALED* Entered: Category: misc-cr Event: Application and
14,3,,USA v. INFORMATION ASSOCIATED 09/28/2017 Affidavit for
14,4,,WITH THE EMAIL ACCOUNT 09:30:21 Search/Seizure Warrant under Rule 41 by
14,5,,[REDACTED] Filed: USA
14,6,,09/28/2017 Document:
14,7,,1
14,8,,Application and Affidavit for Search Warrant by USA as
14,9,,to INFORMATION ASSOCIATED WITH THE EMAIL
14,10,,ACCOUNT [REDACTED].
